name,foot,goal,dist_m,dist_ft,time,match_id,period,team_id,player_id,shot_id,accurate,shot_loc,counter,opportunity,x1,y1,x2,y2,H1,H2,E1,shot_loc_desc,time2,min
Hussain Al Mogahwi,right,False,20.31398995790832,66.62988706193929,740.8350119999996,2057959,2H,16521,122918,260309465,False,,False,False,83,72,0,0,3039.273068,3031.5160130000004,,,3780.1080799999995,63.0
Hattan Bahbir,right,False,28.611483185776997,93.84566484934855,863.6690120000003,2057959,2H,16521,122615,260309561,False,otr,False,False,74,56,0,0,3039.273068,3031.5160130000004,,out high right,3902.9420800000003,65.0
Hussain Al Mogahwi,right,False,26.355650502359072,86.44653364773775,1070.346563,2057959,2H,16521,122918,260309610,False,ot,False,True,76,47,0,0,3039.273068,3031.5160130000004,,out high center,4109.619631,68.0
Hussain Al Mogahwi,head/body,False,13.76737554955555,45.1569918025422,1416.4318160000005,2057959,2H,16521,122918,260309659,True,gt,False,True,88,61,0,0,3039.273068,3031.5160130000004,,goal high center,4455.704884000001,74.0
Muhannad Asiri,head/body,False,10.662936537488163,34.974431842961174,1449.59091,2057959,2H,16521,122749,260309666,True,gc,False,True,91,61,0,0,3039.273068,3031.5160130000004,,goal center,4488.863977999999,74.0
Salem Al Dawsari,right,False,9.43861659473993,30.95866243074697,2157.6768840000004,2057959,2H,16521,122832,260309775,True,gb,False,True,93,35,0,0,3039.273068,3031.5160130000004,,goal low center,5196.949952000001,86.0
Hussain Al Mogahwi,right,False,13.247432127019938,43.451577376625394,2500.2267680000004,2057959,2H,16521,122918,260309851,False,ot,False,True,88,54,0,0,3039.273068,3031.5160130000004,,out high center,5539.499836000001,92.0
Abdullah Otayf,right,False,25.44422364329476,83.4570535500068,2731.827375,2057959,2H,16521,139393,260309910,False,,False,False,78,72,0,0,3039.273068,3031.5160130000004,,,5771.100442999999,96.0
Salem Al Dawsari,right,True,8.021352753744223,26.31003703228105,2947.908402,2057959,2H,16521,122832,260309977,True,glb,False,True,95,66,0,0,3039.273068,3031.5160130000004,,goal low left,5987.1814699999995,99.0
Salman Al Faraj,left,False,14.268288545670078,46.799986429797855,2198.066328,2057959,1H,16521,122847,260309978,False,,False,True,87,49,0,0,3039.273068,3031.5160130000004,,,2198.066328,36.0
David Silva,right,False,13.171479112935646,43.20245149042892,550.498167,2057960,1H,1598,8317,258700988,False,otr,False,True,88,51,100,100,2759.003844,2994.8246150000004,,out high right,550.498167,9.0
Gonçalo Guedes,right,False,32.2281794969868,105.7084287501167,963.191183,2057960,1H,9905,237034,258701155,False,,False,False,71,64,0,0,2759.003844,2994.8246150000004,,,963.191183,16.0
David Silva,left,False,12.074922384947243,39.60574542262695,1248.220209,2057960,1H,1598,8317,258701335,False,,False,True,91,31,100,100,2759.003844,2994.8246150000004,,,1248.220209,20.0
Diego Costa,right,True,13.212041724218857,43.335496855437846,1386.073641,2057960,1H,1598,4338,258701383,True,glb,True,True,88,53,100,100,2759.003844,2994.8246150000004,,goal low left,1386.073641,23.0
Isco,right,False,20.510684839919413,67.27504627493568,1521.81985,2057960,1H,1598,3563,258701430,False,ptl,False,True,84,21,100,100,2759.003844,2994.8246150000004,,post high left,1521.81985,25.0
Cristiano Ronaldo,left,True,19.7496,64.778688,2620.47004,2057960,1H,9905,3322,258701667,True,gb,False,True,82,50,0,0,2759.003844,2994.8246150000004,,goal low center,2620.47004,43.0
Iniesta,left,False,14.560717840219965,47.75915451592148,2059.042922,2057960,1H,1598,3353,258701671,False,obr,False,True,88,33,100,100,2759.003844,2994.8246150000004,,out low right,2059.042922,34.0
Sergio Busquets,head/body,False,8.78521683411969,28.815511215912583,2310.934281,2057960,1H,1598,3346,258701730,False,otl,False,True,92,51,100,100,2759.003844,2994.8246150000004,,out high left,2310.934281,38.0
Isco,left,False,21.754298088021592,71.35409772871081,2512.991823,2057960,1H,1598,3563,258701766,True,gbr,False,True,81,67,100,100,2759.003844,2994.8246150000004,,goal low right,2512.991823,41.0
Bruno Fernandes,right,False,31.41908940134962,103.05461323642675,234.81919500000004,2057960,2H,9905,243588,258701908,False,or,False,False,72,32,0,0,2759.003844,2994.8246150000004,,out center right,2993.823039,49.0
Diego Costa,right,True,3.9560663303337065,12.975897563494556,543.842932,2057960,2H,1598,4338,258702067,True,gb,False,True,97,56,100,100,2759.003844,2994.8246150000004,,goal low center,3302.846776,55.0
Nacho,right,True,19.5488600629295,64.12026100640875,742.6739109999999,2057960,2H,1598,3304,258702154,True,glb,False,True,83,66,100,100,2759.003844,2994.8246150000004,,goal low left,3501.6777549999997,58.0
Diego Costa,left,False,7.71515627903933,25.305712595249002,1509.2638779999995,2057960,2H,1598,4338,258702434,False,obr,False,True,93,48,100,100,2759.003844,2994.8246150000004,,out low right,4268.267722,71.0
Ricardo Quaresma,right,False,13.965394287398405,45.80649326266677,1826.850711,2057960,2H,9905,32597,258702447,False,ot,False,True,91,77,0,0,2759.003844,2994.8246150000004,,out high center,4585.854555,76.0
Ricardo Quaresma,right,False,14.820149308374054,48.61008973146689,2776.1417490000003,2057960,2H,9905,32597,258702697,False,,False,True,87,39,0,0,2759.003844,2994.8246150000004,,,5535.145593,92.0
Iago Aspas,left,False,23.22624320547772,76.18207771396692,2216.821644,2057960,2H,1598,3840,258702725,True,gb,False,True,79,58,100,100,2759.003844,2994.8246150000004,,goal low center,4975.825488,82.0
A. Harit,right,False,17.864989212493246,58.59716461697784,72.12133100000005,2057961,1H,16216,372915,258694505,False,obr,False,True,85,31,0,0,2822.666863,3060.236385,,out low right,72.12133100000005,1.0
Y. Belhanda,head/body,False,9.43861659473993,30.95866243074697,238.50417200000004,2057961,1H,16216,25998,258694538,False,otr,False,True,93,65,0,0,2822.666863,3060.236385,,out high right,238.50417200000004,3.0
