player_id,match_id,name,team,pos,throw,corner
40810,2057982,Neymar,Brazil,FWD,1,6
70122,2057982,N. Matić,Serbia,MID,1,0
105333,2057982,Willian,Brazil,MID,1,3
11155,2057983,B. Ruiz,Costa Rica,MID,1,0
14922,2057983,R. Rodríguez,Switzerland,DEF,8,3
20465,2057983,S. Lichtsteiner,Switzerland,DEF,10,0
26038,2057983,J. Campbell,Costa Rica,FWD,2,3
49872,2057983,X. Shaqiri,Switzerland,MID,0,3
49876,2057983,G. Xhaka,Switzerland,MID,2,0
55977,2057983,C. Gamboa,Costa Rica,DEF,1,0
55982,2057983,B. Oviedo,Costa Rica,DEF,6,0
125260,2057983,D. Guzmán,Costa Rica,MID,0,2
125273,2057983,D. Colindres,Costa Rica,FWD,1,0
125284,2057983,J. Acosta,Costa Rica,DEF,5,0
125575,2057983,K. Waston,Costa Rica,DEF,5,0
3319,2057984,M. Özil,Germany,MID,1,0
14716,2057984,J. Boateng,Germany,DEF,1,0
14723,2057984,T. Kroos,Germany,MID,0,5
14732,2057984,T. Müller,Germany,FWD,1,0
14795,2057984,M. Hummels,Germany,DEF,1,0
14862,2057984,J. Draxler,Germany,MID,0,1
15024,2057984,M. Reus,Germany,FWD,0,2
15125,2057984,M. Plattenhardt,Germany,DEF,1,0
112366,2057984,M. Layún,Mexico,DEF,1,1
224593,2057984,J. Kimmich,Germany,DEF,13,0
255387,2057984,C. Salcedo,Mexico,DEF,7,0
336178,2057984,J. Gallardo,Mexico,MID,12,0
448210,2057984,E. Álvarez,Mexico,DEF,1,0
8529,2057985,S. Larsson,Sweden,MID,1,6
14908,2057985,M. Berg,Sweden,FWD,1,0
14911,2057985,Son Heung-Min,Korea Republic,FWD,1,1
49862,2057985,Joo-Ho Park,Korea Republic,DEF,5,0
51144,2057985,V. Claesson,Sweden,MID,4,0
51217,2057985,L. Augustinsson,Sweden,DEF,10,0
61949,2057985,M. Lustig,Sweden,DEF,12,0
95299,2057985,Min-Woo Kim,Korea Republic,MID,6,0
107529,2057985,Yong Lee,Korea Republic,DEF,6,0
299121,2057985,Jae-Sung Lee,Korea Republic,MID,0,4
8529,2057986,S. Larsson,Sweden,MID,0,1
14716,2057986,J. Boateng,Germany,DEF,3,0
14723,2057986,T. Kroos,Germany,MID,1,5
14731,2057986,M. Gómez,Germany,FWD,1,0
14732,2057986,T. Müller,Germany,FWD,2,1
14748,2057986,A. Rüdiger,Germany,DEF,1,0
14808,2057986,İ. Gündoğan,Germany,MID,1,0
15024,2057986,M. Reus,Germany,FWD,1,2
18669,2057986,J. Hector,Germany,DEF,6,0
51132,2057986,E. Forsberg,Sweden,MID,1,0
51144,2057986,V. Claesson,Sweden,MID,2,0
51217,2057986,L. Augustinsson,Sweden,DEF,5,2
