player_id,match_id,name,team,pos
12,2057975,K. Omeruo,Nigeria,DEF
5295,2057975,O. Ighalo,Nigeria,FWD
7898,2057975,J. Obi Mikel,Nigeria,MID
8625,2057975,V. Moses,Nigeria,MID
11093,2057975,W. Troost-Ekong,Nigeria,DEF
16443,2057975,L. Balogun,Nigeria,DEF
37948,2057975,A. Finnbogason,Iceland,FWD
38084,2057975,B. Bjarnason,Iceland,MID
51127,2057975,A. Skúlason,Iceland,DEF
54451,2057975,B. Sævarsson,Iceland,DEF
54495,2057975,B. Sigurðarson,Iceland,FWD
55983,2057975,R. Sigurðsson,Iceland,DEF
56146,2057975,R. Gíslason,Iceland,FWD
57226,2057975,H. Halldórsson,Iceland,GKP
57347,2057975,S. Ingason,Iceland,DEF
58105,2057975,J. Böðvarsson,Iceland,FWD
62221,2057975,K. Árnason,Iceland,DEF
77521,2057975,A. Gunnarsson,Iceland,MID
77558,2057975,G. Sigurðsson,Iceland,MID
101606,2057975,A. Musa,Nigeria,FWD
135207,2057975,H. Magnússon,Iceland,DEF
209792,2057975,B. Idowu,Nigeria,DEF
230020,2057975,A. Iwobi,Nigeria,MID
265366,2057975,W. Ndidi,Nigeria,MID
285491,2057975,F. Uzoho,Nigeria,GKP
285508,2057975,K. Iheanacho,Nigeria,FWD
332821,2057975,T. Ebuehi,Nigeria,DEF
424624,2057975,O. Etebo,Nigeria,FWD
12,2057976,K. Omeruo,Nigeria,DEF
3280,2057976,É. Banega,Argentina,MID
3314,2057976,Á. di María,Argentina,MID
3323,2057976,G. Higuaín,Argentina,FWD
3355,2057976,J. Mascherano,Argentina,DEF
3359,2057976,L. Messi,Argentina,FWD
5295,2057976,O. Ighalo,Nigeria,FWD
7898,2057976,J. Obi Mikel,Nigeria,MID
8325,2057976,S. Agüero,Argentina,FWD
8625,2057976,V. Moses,Nigeria,MID
11093,2057976,W. Troost-Ekong,Nigeria,DEF
16443,2057976,L. Balogun,Nigeria,DEF
70086,2057976,N. Otamendi,Argentina,DEF
72397,2057976,Simy,Nigeria,FWD
86220,2057976,G. Mercado,Argentina,DEF
86234,2057976,E. Pérez,Argentina,MID
86722,2057976,N. Tagliafico,Argentina,DEF
90991,2057976,F. Armani,Argentina,GKP
101606,2057976,A. Musa,Nigeria,FWD
146459,2057976,M. Meza,Argentina,MID
209792,2057976,B. Idowu,Nigeria,DEF
230020,2057976,A. Iwobi,Nigeria,MID
265366,2057976,W. Ndidi,Nigeria,MID
285396,2057976,C. Pavón,Argentina,FWD
285491,2057976,F. Uzoho,Nigeria,GKP
285508,2057976,K. Iheanacho,Nigeria,FWD
424624,2057976,O. Etebo,Nigeria,FWD
93,2057977,J. Guðmunds­son,Iceland,MID
3476,2057977,I. Rakitić,Croatia,MID
8287,2057977,L. Modrić,Croatia,MID
14771,2057977,V. Ćorluka,Croatia,DEF
14812,2057977,I. Perišić,Croatia,MID
21314,2057977,E. Hallfreðsson,Iceland,MID
25393,2057977,D. Lovren,Croatia,DEF
37948,2057977,A. Finnbogason,Iceland,FWD
38084,2057977,B. Bjarnason,Iceland,MID
54451,2057977,B. Sævarsson,Iceland,DEF
54495,2057977,B. Sigurðarson,Iceland,FWD
55983,2057977,R. Sigurðsson,Iceland,DEF
57226,2057977,H. Halldórsson,Iceland,GKP
57347,2057977,S. Ingason,Iceland,DEF
57480,2057977,A. Traustason,Iceland,MID
69353,2057977,L. Kalinić,Croatia,GKP
69400,2057977,M. Badelj,Croatia,MID
69404,2057977,M. Kovačić,Croatia,MID
69411,2057977,A. Kramarić,Croatia,FWD
69964,2057977,J. Pivarić,Croatia,DEF
77521,2057977,A. Gunnarsson,Iceland,MID
77558,2057977,G. Sigurðsson,Iceland,MID
135207,2057977,H. Magnússon,Iceland,DEF
135810,2057977,M. Pjaca,Croatia,FWD
212604,2057977,T. Jedvaj,Croatia,DEF
216568,2057977,A. Gudmundsson,Iceland,FWD
230626,2057977,D. Ćaleta-Car,Croatia,DEF
231713,2057977,F. Bradarić,Croatia,MID
3310,2057978,Marcelo,Brazil,DEF
3431,2057978,João Miranda,Brazil,DEF
